id,rank,vote,character,anime,cv,bd
1,1,736,新子憧,咲-Saki- 阿知賀編 episode of side-A,東山奈央,4939
2,2,301,一色いろは,やはり俺の青春ラブコメはまちがっている。,佐倉綾音,12968
3,3,295,由比ヶ浜結衣,やはり俺の青春ラブコメはまちがっている。,東山奈央,12968
4,4,255,渋谷凛,アイドルマスター シンデレラガールズ,福原綾香,13498
5,5,217,丹生谷森夏,中二病でも恋がしたい!,赤崎千夏,15466
6,6,216,矢澤にこ,ラブライブ!,徳井青空,64911
7,7,211,雪ノ下雪乃,やはり俺の青春ラブコメはまちがっている。,早見沙織,12968
8,8,210,九条カレン,きんいろモザイク,東山奈央,6582
9,9,209,金剛,艦隊これくしょん -艦これ-,東山奈央,18727
10,10,206,坂木しずか,SHIROBAKO,千菅春香,15004
11,10,206,千斗いすず,甘城ブリリアントパーク,加隈亜衣,6225
12,12,196,一条蛍,のんのんびより,村川梨衣,8375
13,13,183,南ことり,ラブライブ!,内田彩,64911
14,14,125,青羽ここな,ヤマノススメ,小倉唯,4249
15,15,114,千反田える,氷菓,佐藤聡美,9795
16,16,100,リーゼロッテ＝シャルロック,トリニティセブン,東山奈央,3151
17,16,100,古谷向日葵,ゆるゆり,三森すずこ,8365
18,18,99,桐間紗路,ご注文はうさぎですか?,内田真礼,11038
19,19,95,沖田紗羽,TARI TARI,早見沙織,8389
20,20,90,吹雪,艦隊これくしょん -艦これ-,上坂すみれ,18727
21,21,79,愛宕,艦隊これくしょん -艦これ-,東山奈央,18727
22,22,76,ノエル,天体のメソッド,水瀬いのり,1169
23,23,74,中川夏紀,響け! ユーフォニアム,藤村鼓乃美,8903
24,24,72,田中あすか,響け! ユーフォニアム,寿美菜子,8903
25,25,62,榛名,艦隊これくしょん -艦これ-,東山奈央,18727
26,26,60,蒼井晶,selector infected WIXOSS,赤崎千夏,3873
27,26,60,城ヶ崎美嘉,アイドルマスター シンデレラガールズ,佳村はるか,13498
28,28,57,大連寺鈴鹿,東京レイヴンズ,佐倉綾音,2033
29,29,56,ヘスティア,ダンジョンに出会いを求めるのは間違っているだろうか,水瀬いのり,5622
30,30,53,佐天涙子,とある科学の超電磁砲,伊藤かな恵,24495
31,30,53,桐崎千棘,ニセコイ,東山奈央,5794
32,32,52,中川かのん,神のみぞ知るセカイ,東山奈央,3040
33,33,51,三浦千尋,森田さんは無口。,早見沙織,954
34,34,48,藤宮香織,一週間フレンズ。,雨宮天,3718
35,35,45,夕立,艦隊これくしょん -艦これ-,谷邊由美,18727
36,35,45,柊柚子,遊☆戯☆王ARC-V,稲村優奈,176
37,37,44,島村卯月,アイドルマスター シンデレラガールズ,大橋彩香,13498
38,37,44,優木あんじゅ,ラブライブ!,大橋歩夕,64911
39,39,40,高坂雪穂,ラブライブ!,東山奈央,64911
40,39,40,柏崎星奈,僕は友達が少ない,伊藤かな恵,11111
41,41,38,黒木智子,私がモテないのはどう考えてもお前らが悪い!,橘田いずみ,1028
42,42,37,佐々木千穂,はたらく魔王さま!,東山奈央,11511
43,43,36,高坂桐乃,俺の妹がこんなに可愛いわけがない,竹達彩奈,23888
44,43,36,白石うらら,山田くんと7人の魔女,早見沙織,3000
45,45,35,藍羽浅葱,ストライク・ザ・ブラッド,瀬戸麻沙美,5880
46,46,33,間桐桜,Fate/stay night,下屋則子,26047
47,46,33,安原絵麻,SHIROBAKO,佳村はるか,15004
48,48,32,ちょぼらうにょぽみ,あいまいみー,ちょぼらうにょぽみ,715
49,49,31,矢野エリカ,SHIROBAKO,山岡ユリ,15004
50,49,31,新田美波,アイドルマスター シンデレラガールズ,洲崎綾,13498
51,51,30,高宮なすの,てーきゅう,鳴海杏子,2595
52,52,29,安城鳴子,あの日見た花の名前を僕達はまだ知らない。,戸松遥,31524
53,52,29,巴マミ,魔法少女まどか☆マギカ,水橋かおり,71056
54,54,27,川島瑞樹,アイドルマスター シンデレラガールズ,東山奈央,13498
55,55,26,リリルカ・アーデ,ダンジョンに出会いを求めるのは間違っているだろうか,内田真礼,5622
56,55,26,鶴見留美,やはり俺の青春ラブコメはまちがっている。,諸星すみれ,12968
57,55,26,黒崎ほのか,ヤマノススメ,東山奈央,4249
58,58,25,周防天音,グリザイアの果実,田口宏子,3795
59,59,24,藤宮志穂,一週間フレンズ。,中原麻衣,3718
60,59,24,澤村・スペンサー・英梨々,冴えない彼女の育てかた,大西沙織,9337
61,59,24,佐倉杏子,魔法少女まどか☆マギカ,野中藍,71056
62,62,23,武部沙織,ガールズ&パンツァー,茅野愛衣,35235
63,62,23,イオリ・リン子,ガンダムビルドファイターズ,三石琴乃,8940
64,62,23,平沢唯,けいおん!,豊崎愛生,43883
65,62,23,青山七海,さくら荘のペットな彼女,中津真莉子,2834
66,62,23,川崎沙希,やはり俺の青春ラブコメはまちがっている。,小清水亜美,12968
67,62,23,船見結衣,ゆるゆり,津田美波,8365
68,62,23,カズミ＝シュリーレンツァウアー,極黒のブリュンヒルデ,MAO,1840
69,62,23,加藤恵,冴えない彼女の育てかた,安野希世乃,9337
70,62,23,天草シノ,生徒会役員共,日笠陽子,6318
71,71,22,高垣楓,アイドルマスター シンデレラガールズ,早見沙織,13498
72,71,22,神崎蘭子,アイドルマスター シンデレラガールズ,内田真礼,13498
73,73,21,羽川翼,化物語,堀江由依,78631
74,73,21,戸川汐音,天体のメソッド,小松未可子,1169
75,75,20,三浦優美子,やはり俺の青春ラブコメはまちがっている。,井上麻里奈,12968
76,75,20,湯音,異国迷路のクロワーゼ,東山奈央,1234
77,75,20,古宮乃々香,天体のメソッド,夏川椎菜,1169
78,78,19,相楽エミ,ガールフレンド(仮),東山奈央,2282
79,78,19,井上成美,レーカン!,伊藤美来,829
80,78,19,ネリー・ヴィルサラーゼ,咲-Saki-,unknown,7758
81,78,19,松実玄,咲-Saki- 阿知賀編 episode of side-A,花澤香菜,4939
82,78,19,津田コトミ,生徒会役員共,下田麻美,6318
83,83,18,宮森あおい,SHIROBAKO,木村珠莉,15004
84,84,17,ホシノ・フミナ,ガンダムビルドファイターズトライ,牧野由依,4205
85,84,17,香風智乃,ご注文はうさぎですか?,水瀬いのり,11038
86,84,17,保登心愛,ご注文はうさぎですか?,佐倉綾音,11038
87,84,17,四十万スイ,花咲くいろは,久保田民絵,8530
88,84,17,睦月,艦隊これくしょん -艦これ-,日高里奈,18727
89,84,17,小笠原晴香,響け! ユーフォニアム,早見沙織,8903
90,90,16,天ノ川きらら,Go!プリンセスプリキュア,山村響,394
91,90,16,岩沢彩生,あいうら,飯田友子,1827
92,90,16,前川みく,アイドルマスター シンデレラガールズ,高森奈津美,13498
93,90,16,中野梓,けいおん!,竹達彩奈,43883
94,90,16,小泉花陽,ラブライブ!,飯田里穂,64911
95,90,16,コギャル霊,レーカン!,内田彩,829
96,90,16,魚見,生徒会役員共,城沢みゆき,6318
97,90,16,七条アリア,生徒会役員共,佐藤聡美,6318
98,98,15,高槻やよい,アイドルマスター,仁後真耶子,8684
99,98,15,宇治松千夜,ご注文はうさぎですか?,佐藤聡美,11038
100,98,15,天々座理世,ご注文はうさぎですか?,種田梨沙,11038
101,98,15,磯野フネ,サザエさん,麻生美代子,3000
102,98,15,高坂穂乃果,ラブライブ!,新田恵海,64911
103,98,15,押水菜子,花咲くいろは,豊崎愛生,8539
104,104,14,アイラ・ユルキアイネン,ガンダムビルドファイターズ,早見沙織,8940
105,104,14,比企谷小町,やはり俺の青春ラブコメはまちがっている。,悠木碧,12968
106,104,14,藤井雅美,ロウきゅーぶ!,種田梨沙,6532
107,104,14,犬飼伊介,悪魔のリドル,浅倉杏美,1289
108,104,14,足柄,艦隊これくしょん -艦これ-,種田梨沙,18727
109,104,14,熊倉トシ,咲-Saki- 全国編,茂呂田かおる,4565
110,104,14,横島ナルコ,生徒会役員共,小林ゆう,6318
111,111,13,折部やすな,キルミーベイベー,赤崎千夏,993
112,111,13,大宮忍,きんいろモザイク,西明日香,6582
113,111,13,猪熊陽子,きんいろモザイク,内山夕実,6582
114,111,13,高山やなぎ,グラスリップ,早見沙織,432
115,111,13,戸次菜摘,のうりん,斉藤千和,2357
116,111,13,安心院なじみ,めだかボックス,水樹奈々,756
117,111,13,折本かおり,やはり俺の青春ラブコメはまちがっている。,戸松遥,12968
118,111,13,園田海未,ラブライブ!,三森すずこ,64911
119,111,13,西木野真姫,ラブライブ!,Pile,64911
120,111,13,忍野忍,化物語,坂本真綾,78631
121,111,13,竹井久,咲-Saki-,伊藤静,7758
122,111,13,岡橋初瀬,咲-Saki- 阿知賀編 episode of side-A,津田美波,4939
123,111,13,村上絵美,人生相談テレビアニメーション「人生」,大西沙織,1399
124,124,12,深水陽菜,グラスリップ,東山奈央,432
125,124,12,すーぱーそに子,そにアニ -SUPER SONICO THE ANIMATION-,そに子,1877
126,124,12,雪村あおい,ヤマノススメ,井口裕香,4249
127,124,12,上原佳菜,レーカン!,飯田里穂,829
128,124,12,高坂麗奈,響け! ユーフォニアム,安済知佳,8903
129,124,12,成瀬優,私がモテないのはどう考えてもお前らが悪い!,花澤香菜,1028
130,124,12,霧嶋董香,東京喰種トーキョーグール,雨宮天,2912
131,124,12,エヴァンジェリン・A・K・マクダウェル,魔法先生ネギま!,松岡由貴,16559
132,132,11,星宮いちご,アイカツ!,諸星すみれ,2152
133,132,11,シェヘラザード,マギ,坂本真綾,7120
134,132,11,歳納京子,ゆるゆり,大坪由佳,8365
135,132,11,寒河江春紀,悪魔のリドル,内村史子,1289
136,132,11,ミュース,甘城ブリリアントパーク,相坂優歌,6225
137,132,11,那珂,艦隊これくしょん -艦これ-,佐倉綾音,18727
138,132,11,比叡,艦隊これくしょん -艦これ-,東山奈央,18727
139,132,11,柊シノア,終わりのセラフ,早見沙織,4067
140,132,11,譲崎ネロ,探偵オペラ ミルキィホームズ,徳井青空,6084
141,132,11,茂木なつき,頭文字D,川澄綾子,31427
142,142,10,桜井あおい,RAIL WARS!,沼倉愛美,1747
143,142,10,瀬川美里,SHIROBAKO,山川琴美,15004
144,142,10,種島ぽぷら,WORKING!!,阿澄佳奈,17695
145,142,10,天羽まどか,アイカツ!,川上千尋,2152
146,142,10,宇迦之御魂神,いなり、こんこん、恋いろは。,桑島法子,1653
147,142,10,東雲レイ,ガールフレンド(仮),喜多村英梨,2282
148,142,10,カミキ・ミライ,ガンダムビルドファイターズトライ,遠藤綾,4205
149,142,10,九重りん,こどものじかん,喜多村英梨,5862
150,142,10,大神さくら,ダンガンロンパ 希望の学園と絶望の高校生 The Animation,くじら,3944
151,142,10,風間レヴィ,トリニティセブン,佐倉綾音,3151
152,142,10,暁,艦隊これくしょん -艦これ-,洲崎綾,18727
153,142,10,島風,艦隊これくしょん -艦これ-,佐倉綾音,18727
154,142,10,鶴田姫子,咲-Saki- 阿知賀編 episode of side-A,大亀あすか,4939
155,142,10,宇佐美奈々子,普通の女子校生が【ろこどる】やってみた。,伊藤美来,2419
156,156,1705,その他,その他,その他,2700
